insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (1, 'Vernice', 'Haggie', 528);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (2, 'Tull', 'Belmont', 760);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (3, null, 'Glowach', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (4, 'Kyle', 'Baitson', 305);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (5, 'Albina', 'Ryder', 199);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (6, 'Janith', 'McCathie', 789);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (7, 'Padraig', 'Delgardillo', 30);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (8, 'Padget', 'Doick', 346);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (9, 'Carma', null, 653);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (10, 'Benny', 'Gilbeart', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (11, 'Rahel', 'Densell', 530);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (12, 'Jayson', 'Wiggin', 614);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (13, 'Caresa', 'Flacknell', 880);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (14, 'Shalna', 'Stocken', 414);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (15, 'Jilli', 'Ghioni', 16);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (16, 'Sherwynd', 'Stockdale', 519);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (17, null, 'Gilhool', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (18, null, 'Phettis', 101);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (19, 'Zulema', 'Van Arsdale', 866);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (20, 'Isobel', 'Lemmers', 267);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (21, 'Andreas', null, 89);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (22, null, null, 2);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (23, 'Debee', 'Pleming', 766);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (24, 'Adler', 'Peterken', 496);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (25, 'Bob', 'Fihelly', 563);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (26, 'Dorolice', 'Dehm', 737);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (27, 'Antonella', 'Jerschke', 110);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (28, null, null, 310);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (29, 'Faun', 'Chung', 314);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (30, 'Lewie', 'MacLennan', 428);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (31, 'Frederick', 'Statter', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (32, 'Betteann', 'Llorens', 268);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (33, 'Meghan', 'Gutcher', 748);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (34, null, 'Stagg', 869);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (35, 'Kala', null, 654);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (36, 'Tiffie', 'Ickowics', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (37, 'Michelle', 'Nathon', null);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (38, 'Juieta', 'Colicot', 432);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (39, 'Shell', 'Tipler', 471);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (40, 'Tybie', null, 642);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (41, 'Germayne', 'Guirard', 757);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (42, 'Latrina', 'Deekes', 338);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (43, 'Salome', 'Forshaw', 9);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (44, 'Sheeree', 'Casino', 76);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (45, 'Nathan', 'Lowless', 728);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (46, 'Dionis', 'Josipovitz', 631);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (47, null, null, 946);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (48, 'Donelle', null, 295);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (49, 'Drugi', 'Skechley', 426);
insert into Employee (EmpId, FirstName, LastName, DepartmentNumber) values (50, 'Melvin', 'Cornford', 748);
